Name,Lowercase,Grade,Type,Refinement 1,Refinement 2,Refinement 3,Refinement 4,Refinement 5,Base ATK 1,Substat 1,Base ATK 5,Substat 5,Base ATK 10,Substat 10,Base ATK 15,Substat 15,Base ATK 20,Substat 20,Base ATK 20+,Substat 20+,Base ATK 25,Substat 25,Base ATK 30,Substat 30,Base ATK 35,Substat 35,Base ATK 40,Substat 40,Base ATK 40+,Substat 40+,Base ATK 45,Substat 45,Base ATK 50,Substat 50,Base ATK 50+,Substat 50+,Base ATK 55,Substat 55,Base ATK 60,Substat 60,Base ATK 60+,Substat 60+,Base ATK 65,Substat 65,Base ATK 70,Substat 70,Base ATK 70+,Substat 70+,Base ATK 75,Substat 75,Base ATK 80,Substat 80,Base ATK 80+,Substat 80+,Base ATK 85,Substat 85,Base ATK 90,Substat 90,Substat
The Unforged,the unforged,5,claymore,"Golden Majesty: Increases Shield Strength by 20%. Scoring hits on opponents increases ATK by 4% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 25%. Scoring hits on opponents increases ATK by 5% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 30%. Scoring hits on opponents increases ATK by 6% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 35%. Scoring hits on opponents increases ATK by 7% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 40%. Scoring hits on opponents increases ATK by 8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.",46,10.8,62,12.5,82,14.7,102,16.9,122,19.1,153,19.1,173,21.3,194,23.4,214,25.6,235,27.8,266,27.8,287,30.0,308,32.2,340,32.2,361,34.4,382,36.5,414,36.5,435,38.7,457,40.9,488,40.9,510,43.1,532,45.3,563,45.3,586,47.4,608,49.6,ATK%
Song of Broken Pines,song of broken pines,5,claymore,"Rebel's Banner-Hymn: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases ATK by 16%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess 4 Sigils of Whispers, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Banner-Hymn"" effect for 12s. ""Millennial Movement: Banner-Hymn"" increases Normal ATK SPD by 12% and increases ATK by 20%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.","Rebel's Banner-Hymn: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases ATK by 20%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess 4 Sigils of Whispers, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Banner-Hymn"" effect for 12s. ""Millennial Movement: Banner-Hymn"" increases Normal ATK SPD by 15% and increases ATK by 25%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.","Rebel's Banner-Hymn: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases ATK by 24%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess 4 Sigils of Whispers, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Banner-Hymn"" effect for 12s. ""Millennial Movement: Banner-Hymn"" increases Normal ATK SPD by 18% and increases ATK by 30%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.","Rebel's Banner-Hymn: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases ATK by 28%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess 4 Sigils of Whispers, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Banner-Hymn"" effect for 12s. ""Millennial Movement: Banner-Hymn"" increases Normal ATK SPD by 21% and increases ATK by 35%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.","Rebel's Banner-Hymn: A part of the ""Millennial Movement"" that wanders amidst the winds. Increases ATK by 32%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s. When you possess 4 Sigils of Whispers, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Banner-Hymn"" effect for 12s. ""Millennial Movement: Banner-Hymn"" increases Normal ATK SPD by 24% and increases ATK by 40%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s. Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack.",49,4.5,68,5.2,93,6.1,119,7.0,145,8.0,176,8.0,203,8.9,230,9.8,258,10.7,286,11.6,317,11.6,346,12.5,374,13.4,406,13.4,435,14.3,464,15.2,495,15.2,525,16.1,555,17.0,586,17.0,617,17.9,648,18.9,679,18.9,709,19.8,741,20.7,Physical DMG Bonus
Beginner's Protector,beginner's protector,1,polearm,No Passive,No Passive,No Passive,No Passive,No Passive,23,0.0,30,0.0,39,0.0,48,0.0,56,0.0,68,0.0,76,0.0,85,0.0,93,0.0,102,0.0,113,0.0,121,0.0,130,0.0,141,0.0,149,0.0,158,0.0,169,0.0,177,0.0,185,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,none
Iron Point,iron point,2,polearm,No Passive,No Passive,No Passive,No Passive,No Passive,33,0.0,43,0.0,55,0.0,68,0.0,80,0.0,91,0.0,103,0.0,115,0.0,127,0.0,139,0.0,151,0.0,162,0.0,174,0.0,186,0.0,197,0.0,209,0.0,220,0.0,232,0.0,243,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,none
Black Tassel,black tassel,3,polearm,Bane of the Soft: Increases DMG against slimes by 40%.,Bane of the Soft: Increases DMG against slimes by 50%.,Bane of the Soft: Increases DMG against slimes by 60%.,Bane of the Soft: Increases DMG against slimes by 70%.,Bane of the Soft: Increases DMG against slimes by 80%.,38,10.2,48,11.9,61,13.9,73,16.0,86,18.0,105,18.0,117,20.1,129,22.2,140,24.2,151,26.3,171,26.3,182,28.4,193,30.4,212,30.4,223,32.5,234,34.6,253,34.6,264,36.6,274,38.7,294,38.7,304,40.7,314,42.8,334,42.8,344,44.9,354,46.9,HP%
Halberd,halberd,3,polearm,Heavy: Normal Attacks deal an additional 160% ATK as DMG. Can only occur once every 10s.,Heavy: Normal Attacks deal an additional 200% ATK as DMG. This effect can only occur once every 10s.,Heavy: Normal Attacks deal an additional 240% ATK as DMG. This effect can only occur once every 10s.,Heavy: Normal Attacks deal an additional 280% ATK as DMG. This effect can only occur once every 10s.,Heavy: Normal Attacks deal an additional 320% ATK as DMG. This effect can only occur once every 10s.,40,5.1,53,5.9,69,7.0,86,8.0,102,9.0,121,9.0,138,10.1,154,11.1,171,12.1,187,13.1,207,13.1,223,14.2,239,15.2,259,15.2,275,16.2,292,17.3,311,17.3,327,18.3,344,19.3,363,19.3,380,20.4,396,21.4,415,21.4,432,22.4,448,23.5,ATK%
White Tassel,white tassel,3,polearm,Sharp: Increases Normal Attack DMG by 24%.,Sharp: Increases Normal Attack DMG by 30%.,Sharp: Increases Normal Attack DMG by 36%.,Sharp: Increases Normal Attack DMG by 42%.,Sharp: Increases Normal Attack DMG by 48%.,39,5.1,50,5.9,65,7.0,79,8.0,94,9.0,113,9.0,127,10.0,141,11.1,155,12.1,169,13.1,189,13.1,202,14.2,216,15.2,236,15.2,249,16.2,263,17.3,282,17.3,296,18.3,309,19.3,329,19.3,342,20.3,355,21.4,375,21.4,388,22.4,401,23.4,CRIT Rate
Blackcliff Pole,blackcliff pole,4,polearm,"Press the Advantage: After defeating an enemy, ATK is increased by 12% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an enemy, ATK is increased by 15% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an enemy, ATK is increased by 18% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an enemy, ATK is increased by 21% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.","Press the Advantage: After defeating an enemy, ATK is increased by 24% for 30s. This effect has a maximum of 3 stacks, and the duration of each stack is independent of the others.",42,12.0,56,13.9,74,16.4,91,18.8,109,21.2,135,21.2,152,23.6,170,26.1,187,28.5,205,30.9,231,30.9,248,33.3,266,35.7,292,35.7,309,38.2,327,40.6,353,40.6,370,43.0,388,45.4,414,45.4,431,47.9,449,50.3,475,50.3,492,52.7,510,55.1,CRIT DMG
Crescent Pike,crescent pike,4,polearm,"Infusion Needle: After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal additional DMG equal to 20% of ATK for 5s.","Infusion Needle: After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal additional DMG equal to 25% of ATK for 5s.","Infusion Needle: After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal additional DMG equal to 30% of ATK for 5s.","Infusion Needle: After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal additional DMG equal to 35% of ATK for 5s.","Infusion Needle: After picking up an Elemental Orb/Particle, Normal and Charged Attacks deal additional DMG equal to 40% of ATK for 5s.",44,7.5,59,8.7,79,10.2,99,11.7,119,13.3,144,13.3,165,14.8,185,16.3,205,17.8,226,19.3,252,19.3,273,20.8,293,22.4,319,22.4,340,23.9,361,25.4,387,25.4,408,26.9,429,28.4,455,28.4,476,29.9,497,31.5,523,31.5,544,33.0,565,34.5,Physical DMG Bonus
Deathmatch,deathmatch,4,polearm,"Gladiator: If there are at least 2 opponents nearby, ATK is increased by 16% and DEF is increased by 16%. If there are fewer than 2 opponents nearby, ATK is increased by 24%.","Gladiator: If there are at least 2 opponents nearby, ATK is increased by 20% and DEF is increased by 20%. If there are fewer than 2 opponents nearby, ATK is increased by 30%.","Gladiator: If there are at least 2 opponents nearby, ATK is increased by 24% and DEF is increased by 24%. If there are fewer than 2 opponents nearby, ATK is increased by 36%.","Gladiator: If there are at least 2 opponents nearby, ATK is increased by 28% and DEF is increased by 28%. If there are fewer than 2 opponents nearby, ATK is increased by 42%.","Gladiator: If there are at least 2 opponents nearby, ATK is increased by 32% and DEF is increased by 32%. If there are fewer than 2 opponents nearby, ATK is increased by 48%.",41,8.0,54,9.3,69,10.9,84,12.5,99,14.1,125,14.1,140,15.8,155,17.4,169,19.0,184,20.6,210,20.6,224,22.2,238,23.8,264,23.8,278,25.4,293,27.1,319,27.1,333,28.7,347,30.3,373,30.3,387,31.9,401,33.5,427,33.5,440,35.1,454,36.8,CRIT Rate
Dragon's Bane,dragon's bane,4,polearm,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 20%.,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 24%.,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 28%.,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 32%.,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 36%.,41,48.0,54,56.0,69,65.0,84,75.0,99,85.0,125,85.0,140,95.0,155,104.0,169,114.0,184,124.0,210,124.0,224,133.0,238,143.0,264,143.0,278,153.0,293,162.0,319,162.0,333,172.0,347,182.0,373,182.0,387,191.0,401,201.0,427,201.0,440,211.0,454,221.0,Elemental Mastery
Lithic Spear,lithic spear,4,polearm,"Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 7% ATK increase and a 3% CRIT Rate increase. This effect stacks up to 4 times.","Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 8% ATK increase and a 4% CRIT Rate increase. This effect stacks up to 4 times.","Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 9% ATK increase and a 5% CRIT Rate increase. This effect stacks up to 4 times.","Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 10% ATK increase and a 6% CRIT Rate increase. This effect stacks up to 4 times.","Lithic Axiom: Unity: For every character in the party who hails from Liyue, the character who equips this weapon gains a 11% ATK increase and a 7% CRIT Rate increase. This effect stacks up to 4 times.",44,6.0,59,7.0,79,8.2,99,9.4,119,10.6,144,10.6,165,11.8,185,13.0,205,14.2,226,15.5,252,15.5,273,16.7,293,17.9,319,17.9,340,19.1,361,20.3,387,20.3,408,21.5,429,22.7,455,22.7,476,23.9,497,25.1,523,25.1,544,26.4,565,27.6,ATK%
Prototype Starglitter,prototype starglitter,4,polearm,"Magic Affinity: After using an Elemental Skill, increases Normal and Charged Attack DMG by 8% for 12s. Max 2 stacks.","Magic Affinity: After using an Elemental Skill, increases Normal and Charged Attack DMG by 10% for 12s. Max 2 stacks.","Magic Affinity: After using an Elemental Skill, increases Normal and Charged Attack DMG by 12% for 12s. Max 2 stacks.","Magic Affinity: After using an Elemental Skill, increases Normal and Charged Attack DMG by 14% for 12s. Max 2 stacks.","Magic Affinity: After using an Elemental Skill, increases Normal and Charged Attack DMG by 16% for 12s. Max 2 stacks.",42,10.0,56,11.6,74,13.6,91,15.7,109,17.7,135,17.7,152,19.7,170,21.7,187,23.7,205,25.8,231,25.8,248,27.8,266,29.8,292,29.8,309,31.8,327,33.8,353,33.8,370,35.9,388,37.9,414,37.9,431,39.9,449,41.9,475,41.9,492,43.9,510,45.9,Energy Recharge
Favonius Lance,favonius lance,4,polearm,"Windfall: CRIT Hits have a 60% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 12s.","Windfall: CRIT Hits have a 70% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 10.5s.","Windfall: CRIT Hits have a 80% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 9s.","Windfall: CRIT Hits have a 90% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 7.5s.","Windfall: CRIT Hits have a 100% chance to generate a small amount of Elemental Particles, which will regenerate 6 Energy for the character. Can only occur once every 6s.",44,6.7,59,7.7,79,9.1,99,10.4,119,11.8,144,11.8,165,13.1,185,14.5,205,15.8,226,17.2,252,17.2,273,18.5,293,19.9,319,19.9,340,21.2,361,22.6,387,22.6,408,23.9,429,25.2,455,25.2,476,26.6,497,27.9,523,27.9,544,29.3,565,30.6,Energy Recharge
Royal Spear,royal spear,4,polearm,"Focus: Upon damaging an opponent, increases CRIT Rate by 8%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 10%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 12%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 14%. Max 5 stacks. A CRIT Hit removes all stacks.","Focus: Upon damaging an opponent, increases CRIT Rate by 16%. Max 5 stacks. A CRIT Hit removes all stacks.",44,6.0,59,7.0,79,8.2,99,9.4,119,10.6,144,10.6,165,11.8,185,13.0,205,14.2,226,15.5,252,15.5,273,16.7,293,17.9,319,17.9,340,19.1,361,20.3,387,20.3,408,21.5,429,22.7,455,22.7,476,23.9,497,25.1,523,25.1,544,26.4,565,27.6,ATK%
Dragonspine Spear,dragonspine spear,4,polearm,"Frost Burial: Hitting an opponent with Normal and Charged Attacks has a 60% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 80% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 200% of ATK. Can only occur once every 10s.","Frost Burial: Hitting an opponent with Normal and Charged Attacks has a 70% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 95% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 240% of ATK. Can only occur once every 10s.","Frost Burial: Hitting an opponent with Normal and Charged Attacks has an 80% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 110% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 280% of ATK. Can only occur once every 10s.","Frost Burial: Hitting an opponent with Normal and Charged Attacks has a 90% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 125% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 320% of ATK. Can only occur once every 10s.","Frost Burial: Hitting an opponent with Normal and Charged Attacks has a 100% chance of forming and dropping an Everfrost Icicle above them, dealing AoE DMG equal to 140% of ATK. Opponents affected by Cryo are instead dealt DMG equal to 360% of ATK. Can only occur once every 10s.",41,15.0,54,17.4,69,20.5,84,23.5,99,26.5,125,26.5,140,29.6,155,32.6,169,35.6,184,38.7,210,38.7,224,41.7,238,44.7,264,44.7,278,47.8,293,50.8,319,50.8,333,53.8,347,56.8,373,56.8,387,59.9,401,62.9,427,62.9,440,65.9,454,69.0,Physical DMG Bonus
Kitain Cross Spear,kitain cross spear,4,polearm,"Samurai Conduct: Increases Elemental Skill DMG by 6%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Samurai Conduct: Increases Elemental Skill DMG by 7.5%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 3.5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Samurai Conduct: Increases Elemental Skill DMG by 9%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 4 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Samurai Conduct: Increases Elemental Skill DMG by 10.5%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 4.5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.","Samurai Conduct: Increases Elemental Skill DMG by 12%. After Elemental Skill hits an opponent, the character loses 3 Energy but regenerates 5 Energy every 2s for the next 6s. This effect can occur once every 10s. Can be triggered even when the character is not on the field.",44,24.0,59,28.0,79,33.0,99,38.0,119,42.0,144,42.0,165,47.0,185,52.0,205,57.0,226,62.0,252,62.0,273,67.0,293,71.0,319,71.0,340,76.0,361,81.0,387,81.0,408,86.0,429,91.0,455,91.0,476,96.0,497,101.0,523,101.0,544,105.0,565,110.0,Elemental Mastery
Vortex Vanquisher,vortex vanquisher,5,polearm,"Golden Majesty: Increases Shield Strength by 20%. Scoring hits on opponents increases ATK by 4% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 25%. Scoring hits on opponents increases ATK by 5% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 30%. Scoring hits on opponents increases ATK by 6% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 35%. Scoring hits on opponents increases ATK by 7% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.","Golden Majesty: Increases Shield Strength by 40%. Scoring hits on opponents increases ATK by 8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%.",46,10.8,62,12.5,82,14.7,102,16.9,122,19.1,153,19.1,173,21.3,194,23.4,214,25.6,235,27.8,266,27.8,287,30.0,308,32.2,340,32.2,361,34.4,382,36.5,414,36.5,435,38.7,457,40.9,488,40.9,510,43.1,532,45.3,563,45.3,586,47.4,608,49.6,ATK%
Primordial Jade Winged-Spear,primordial jade winged-spear,5,polearm,"Eagle Spear of Justice: On hit, increases ATK by 3.2% for 6s. Max 7 stacks. This effect can only occur once every 0.3s. While in possession of the maximum possible stacks, DMG dealt is increased by 12%.","Eagle Spear of Justice: On hit, increases ATK by 3.9% for 6s. Max 7 stacks. This effect can only occur once every 0.3s. While in possession of the maximum possible stacks, DMG dealt is increased by 15%.","Eagle Spear of Justice: On hit, increases ATK by 4.6% for 6s. Max 7 stacks. This effect can only occur once every 0.3s. While in possession of the maximum possible stacks, DMG dealt is increased by 18%.","Eagle Spear of Justice: On hit, increases ATK by 5.3% for 6s. Max 7 stacks. This effect can only occur once every 0.3s. While in possession of the maximum possible stacks, DMG dealt is increased by 21%.","Eagle Spear of Justice: On hit, increases ATK by 6% for 6s. Max 7 stacks. This effect can only occur once every 0.3s. While in possession of the maximum possible stacks, DMG dealt is increased by 24%.",48,4.8,65,5.6,87,6.5,110,7.5,133,8.5,164,8.5,188,9.5,212,10.4,236,11.4,261,12.4,292,12.4,316,13.3,341,14.3,373,14.3,398,15.3,423,16.2,455,16.2,480,17.2,506,18.2,537,18.2,563,19.1,590,20.1,621,20.1,648,21.1,674,22.1,CRIT Rate
Skyward Spine,skyward spine,5,polearm,"Black Wing: Increases CRIT Rate by 8% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on opponents have a 50% chance to trigger a vacuum blade that deals 40% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.","Black Wing: Increases CRIT Rate by 10% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on opponents have a 50% chance to trigger a vacuum blade that deals 55% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.","Black Wing: Increases CRIT Rate by 12% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on opponents have a 50% chance to trigger a vacuum blade that deals 70% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.","Black Wing: Increases CRIT Rate by 14% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on opponents have a 50% chance to trigger a vacuum blade that deals 85% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.","Black Wing: Increases CRIT Rate by 16% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on opponents have a 50% chance to trigger a vacuum blade that deals 100% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s.",48,8.0,65,9.3,87,10.9,110,12.5,133,14.1,164,14.1,188,15.8,212,17.4,236,19.0,261,20.6,292,20.6,316,22.2,341,23.8,373,23.8,398,25.4,423,27.1,455,27.1,480,28.7,506,30.3,537,30.3,563,31.9,590,33.5,621,33.5,648,35.1,674,36.8,Energy Recharge
Staff of Homa,staff of homa,5,polearm,"Reckless Cinnabar: HP increased by 20%. Additionally, provides an ATK Bonus based on 0.8% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1% of Max HP.","Reckless Cinnabar: HP increased by 25%. Additionally, provides an ATK Bonus based on 1% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1.2% of Max HP.","Reckless Cinnabar: HP increased by 30%. Additionally, provides an ATK Bonus based on 1.2% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1.4% of Max HP.","Reckless Cinnabar: HP increased by 35%. Additionally, provides an ATK Bonus based on 1.4% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1.6% of Max HP.","Reckless Cinnabar: HP increased by 40%. Additionally, provides an ATK Bonus based on 1.6% of the wielder's Max HP. When the wielder's HP is less than 50%, this ATK Bonus is increased by an additional 1.8% of Max HP.",46,14.4,62,16.7,82,19.6,102,22.5,122,25.4,153,25.4,173,28.4,194,31.3,214,34.2,235,37.1,266,37.1,287,40.0,308,42.9,340,42.9,361,45.8,382,48.7,414,48.7,435,51.6,457,54.5,488,54.5,510,57.4,532,60.3,563,60.3,586,63.2,608,66.2,CRIT DMG
Hunter's Bow,hunter's bow,1,bow,No Passive,No Passive,No Passive,No Passive,No Passive,23,0.0,30,0.0,39,0.0,48,0.0,56,0.0,68,0.0,76,0.0,85,0.0,93,0.0,102,0.0,113,0.0,121,0.0,130,0.0,141,0.0,149,0.0,158,0.0,169,0.0,177,0.0,185,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,none
Seasoned Hunter's Bow,seasoned hunter's bow,2,bow,No Passive,No Passive,No Passive,No Passive,No Passive,33,0.0,43,0.0,55,0.0,68,0.0,80,0.0,91,0.0,103,0.0,115,0.0,127,0.0,139,0.0,151,0.0,162,0.0,174,0.0,186,0.0,197,0.0,209,0.0,220,0.0,232,0.0,243,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,none
Messenger,messenger,3,bow,Archer's Message: Charged Attack hits on weak points deal an additional 100% ATK DMG as CRIT DMG. Can only occur once every 10s.,Archer's Message: Charged Attack hits on weak points deal an additional 125% ATK DMG as CRIT DMG. Can only occur once every 10s.,Archer's Message: Charged Attack hits on weak points deal an additional 150% ATK DMG as CRIT DMG. Can only occur once every 10s.,Archer's Message: Charged Attack hits on weak points deal an additional 175% ATK DMG as CRIT DMG. Can only occur once every 10s.,Archer's Message: Charged Attack hits on weak points deal an additional 200% ATK DMG as CRIT DMG. Can only occur once every 10s.,40,6.8,53,7.9,69,9.3,86,10.6,102,12.0,121,12.0,138,13.4,154,14.8,171,16.1,187,17.5,207,17.5,223,18.9,239,20.3,259,20.3,275,21.6,292,23.0,311,23.0,327,24.4,344,25.7,363,25.7,380,27.1,396,28.5,415,28.5,432,29.9,448,31.2,CRIT DMG
Raven Bow,raven bow,3,bow,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 12%.,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 15%.,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 18%.,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 21%.,Bane of Flame and Water: Increases DMG against opponents affected by Hydro or Pyro by 24%.,40,20.0,53,24.0,69,28.0,86,32.0,102,36.0,121,36.0,138,40.0,154,44.0,171,48.0,187,53.0,207,53.0,223,57.0,239,61.0,259,61.0,275,65.0,292,69.0,311,69.0,327,73.0,344,77.0,363,77.0,380,81.0,396,85.0,415,85.0,432,90.0,448,94.0,Elemental Mastery
Recurve Bow,recurve bow,3,bow,Cull the Weak: Defeating an opponent restores 8% HP.,Cull the Weak: Defeating an opponent restores 10% HP.,Cull the Weak: Defeating an opponent restores 12% HP.,Cull the Weak: Defeating an opponent restores 14% HP.,Cull the Weak: Defeating an opponent restores 16% HP.,38,10.2,48,11.9,61,13.9,73,16.0,86,18.0,105,18.0,117,20.1,129,22.2,140,24.2,151,26.3,171,26.3,182,28.4,193,30.4,212,30.4,223,32.5,234,34.6,253,34.6,264,36.6,274,38.7,294,38.7,304,40.7,314,42.8,334,42.8,344,44.9,354,46.9,HP%
Sharpshooter's Oath,sharpshooter's oath,3,bow,Precise: Increases DMG against weak spots by 24%.,Precise: Increases DMG against weak spots by 30%.,Precise: Increases DMG against weak spots by 36%.,Precise: Increases DMG against weak spots by 42%.,Precise: Increases DMG against weak spots by 48%.,39,10.2,50,11.9,65,13.9,79,16.0,94,18.0,113,18.0,127,20.1,141,22.1,155,24.2,169,26.3,189,26.3,202,28.3,216,30.4,236,30.4,249,32.4,263,34.5,282,34.5,296,36.6,309,38.6,329,38.6,342,40.7,355,42.7,375,42.7,388,44.8,401,46.9,CRIT DMG
